"source_repository","source_path","disposition","logical_path","canonical_path","sha256"
"OT-detection-program","02-detection/historian/C-replay-stale/C01-frozen-value-replay/sentinel.kql","included","02-detection/historian/C-replay-stale/C01-frozen-value-replay/sentinel.kql","02-detection/historian/C-replay-stale/C01-frozen-value-replay/sentinel.kql","d10ef83751907ac120736ddbe8465b0fc0bf8f1928b7f5d726f6cf43fac0ceba"
"OT-detection-program","02-detection/historian/C-replay-stale/C01-frozen-value-replay/splunk.spl","included","02-detection/historian/C-replay-stale/C01-frozen-value-replay/splunk.spl","02-detection/historian/C-replay-stale/C01-frozen-value-replay/splunk.spl","daaf512edc4fb78946f96a2ff3a6836ec3ccce93f42e4de972602773334ab04f"
"OT-detection-program","02-detection/historian/C-replay-stale/C01-frozen-value-replay/validation.md","included","02-detection/historian/C-replay-stale/C01-frozen-value-replay/validation.md","02-detection/historian/C-replay-stale/C01-frozen-value-replay/validation.md","96ef90d86d4376458b2c9705e9981b9bc70c5db452c08faa394add12e6db17be"
"OT-detection-program","02-detection/historian/catalog.md","included","02-detection/historian/catalog.md","02-detection/historian/catalog.md","2d4c75aa8ceed9e0dcb82e94f1a175cd08eb42edcd6d209515cfdca762376a2d"
"OT-detection-program","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/detection.yml","included","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/detection.yml","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/detection.yml","ff8bd842e3fffa750c195455ab93bf346540f78da77fb20406236afdc0220fe6"
"OT-detection-program","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/README.md","included","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/README.md","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/README.md","0d183d69d529a96c5fff01c871b1cb03183e4524cc9fca03b263960fce070d26"
"OT-detection-program","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/sentinel.kql","included","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/sentinel.kql","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/sentinel.kql","b091ae785322f0f2f29bdf82aa9f876cd02f2a48216e111bdcdd83b42ed9dd96"
"OT-detection-program","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/splunk.spl","included","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/splunk.spl","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/splunk.spl","7c7e64257825dcaf3e011216f9ad7845264a0b390566c7f8822409d9d3673e6f"
"OT-detection-program","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/validation.md","included","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/validation.md","02-detection/historian/D-physical-plausibility/D02-impossible-state-combination/validation.md","6d646823ba0e25e083c8bdb17189fe406a9d3afece6a9370e958d55c59c4de77"
"OT-detection-program","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/detection.yml","included","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/detection.yml","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/detection.yml","ad2107715a0f29f99190388e9cb9727c698427ea62b292be88fb8d293483b3f8"
